activity_date,course_item_type_category,course_item_type_desc,count
2016-11-10 03:00:00,programming,graded programming,135728
2016-11-10 03:00:00,notebook,notebook,17508
2016-11-10 03:00:00,,others,107
2016-11-10 03:00:00,lecture,lecture,25368
2016-11-10 03:00:00,supplement,supplement,1607
2016-11-10 03:00:00,quiz,exam,1580
2016-11-11 03:00:00,supplement,supplement,1153
2016-11-11 03:00:00,quiz,exam,1728
2016-11-11 03:00:00,,others,143
2016-11-11 03:00:00,lecture,lecture,22798
2016-11-11 03:00:00,programming,graded programming,10988
2016-11-11 03:00:00,notebook,notebook,15740
2016-11-12 03:00:00,lecture,lecture,22961
2016-11-12 03:00:00,supplement,supplement,1083
2016-11-12 03:00:00,notebook,notebook,17316
2016-11-12 03:00:00,quiz,exam,1168
2016-11-12 03:00:00,,others,108
2016-11-12 03:00:00,programming,graded programming,13728
2016-11-13 03:00:00,notebook,notebook,21556
2016-11-13 03:00:00,lecture,lecture,25568
2016-11-13 03:00:00,programming,graded programming,21408
2016-11-13 03:00:00,,others,132
2016-11-13 03:00:00,supplement,supplement,1289
2016-11-13 03:00:00,quiz,exam,1568
2016-11-14 03:00:00,notebook,notebook,18356
2016-11-14 03:00:00,,others,136
2016-11-14 03:00:00,lecture,lecture,24127
2016-11-14 03:00:00,programming,graded programming,18304
2016-11-14 03:00:00,supplement,supplement,1156
2016-11-14 03:00:00,quiz,exam,1596
2016-11-15 03:00:00,lecture,lecture,21360
2016-11-15 03:00:00,supplement,supplement,1053
2016-11-15 03:00:00,notebook,notebook,16592
2016-11-15 03:00:00,quiz,exam,952
2016-11-15 03:00:00,,others,137
2016-11-15 03:00:00,programming,graded programming,15496
2016-11-16 03:00:00,supplement,supplement,938
2016-11-16 03:00:00,notebook,notebook,14264
2016-11-16 03:00:00,,others,82
2016-11-16 03:00:00,quiz,exam,1212
2016-11-16 03:00:00,lecture,lecture,19545
2016-11-16 03:00:00,programming,graded programming,8964
2016-11-17 03:00:00,quiz,exam,788
