Date,Open,High,Low,Close,AdjClose,Volume
8/1/07,253.600571,256.586151,252.428192,254.812683,254.812683,8913900
8/2/07,255.200165,255.83107,252.855423,253.853928,253.853928,6350800
8/3/07,253.377029,254.941849,249.874802,249.874802,249.874802,6393600
8/6/07,249.874802,253.426697,249.626419,253.352188,253.352188,7350400
8/7/07,253.227997,258.260254,252.87529,256.342743,256.342743,8584000
8/8/07,257.992004,261.191193,256.874268,261.191193,261.191193,8190400
8/9/07,258.717285,261.707855,255.652222,255.701904,255.701904,9755900
8/10/07,253.441605,257.684021,251.181305,256.208618,256.208618,11826700
8/13/07,258.09137,258.195679,254.857391,256.084412,256.084412,6399800
8/14/07,256.193695,257.02829,252.358643,252.656708,252.656708,7314500
8/15/07,252.855423,254.191727,246.750122,247.167419,247.167419,10889300
8/16/07,244.420288,246.611038,238.677628,244.17189,244.17189,17403600
8/17/07,247.112762,248.881271,244.236481,248.404373,248.404373,11030000
8/20/07,249.606552,249.656219,246.397415,247.351212,247.351212,5429600
8/21/07,247.857925,252.438126,247.276703,251.668137,251.668137,7268100
8/22/07,253.332321,256.457001,252.979614,254.718307,254.718307,6547600
8/23/07,256.332794,256.397369,251.861877,254.440109,254.440109,6193400
8/24/07,254.648758,256.109253,252.60704,255.836029,255.836029,4977400
8/27/07,255.552872,257.053131,254.047668,254.971649,254.971649,4680300
8/28/07,254.112244,255.826096,251.260788,251.563812,251.563812,6590200
8/29/07,252.27916,254.991531,251.976135,254.782883,254.782883,5131700
8/30/07,254.524567,256.034729,253.64032,254.047668,254.047668,5337800
8/31/07,254.892166,256.581177,254.082443,255.96022,255.96022,5993800
9/4/07,255.845963,262.294037,255.647263,260.878235,260.878235,7435400
9/5/07,260.008881,263.029236,259.437622,262.194672,262.194672,6668900
9/6/07,262.969635,263.203125,257.445557,260.068512,260.068512,7298900
9/7/07,257.256805,258.935883,256.730225,257.996979,257.996979,7374800
9/10/07,258.95575,259.348175,253.789352,255.577713,255.577713,6493500
9/11/07,256.824615,259.139557,256.198669,258.980591,258.980591,5442300
9/12/07,258.58316,262.284088,257.82312,259.636322,259.636322,6010800
9/13/07,260.336761,261.901581,259.919464,260.694427,260.694427,3806600
9/14/07,259.909546,263.421692,259.422699,262.666595,262.666595,5565600
9/17/07,261.563782,262.929901,260.341736,260.952759,260.952759,4423400
9/18/07,261.558807,266.88913,260.441071,265.905548,265.905548,8486100
9/19/07,267.892609,272.949738,267.688934,271.658112,271.658112,11125600
9/20/07,271.732635,276.600983,271.250763,274.628815,274.628815,11121800
9/21/07,276.372467,278.583099,274.628815,278.240326,278.240326,16127600
9/24/07,278.687408,283.883606,278.190643,282.174713,282.174713,10662800
9/25/07,280.177704,282.939758,279.611389,282.66156,282.66156,5496600
9/26/07,283.357025,284.047546,280.083313,282.244263,282.244263,6735500
9/27/07,284.017731,284.022705,281.061951,281.916412,281.916412,4139300
9/28/07,281.66803,282.934784,280.237335,281.802155,281.802155,5313200
10/1/07,283.143433,290.286957,282.9646,289.392792,289.392792,9483800
10/2/07,289.805084,296.476715,288.130981,290.306824,290.306824,14226900
10/3/07,291.230835,292.59198,288.30484,290.123016,290.123016,7809400
10/4/07,290.654572,290.654572,286.665527,287.644165,287.644165,6012200
10/5/07,291.658051,296.07431,291.608368,295.105621,295.105621,10203200
10/8/07,295.577545,303.158234,295.055939,302.840302,302.840302,10121300
10/9/07,305.567566,309.874573,302.229279,305.602356,305.602356,17649500
10/10/07,308.672394,310.81842,306.407104,310.674377,310.674377,10841200
10/11/07,314.772705,318.632599,302.532318,308.990326,308.990326,23751300
10/12/07,309.973907,317.137329,307.122467,316.63559,316.63559,13736100
10/15/07,317.172089,317.86261,305.786163,308.051422,308.051422,13977800
10/16/07,307.246643,310.937653,304.01767,306.009705,306.009705,12128900
10/17/07,313.188019,314.951538,308.786652,314.693237,314.693237,12139300
10/18/07,315.651978,318.612732,312.219299,317.743378,317.743378,24738100
10/19/07,325.1651,327.117432,319.536713,320.271942,320.271942,31783200
10/22/07,317.271454,325.383698,316.084167,323.27243,323.27243,13415400
10/23/07,328.488495,336.610657,327.867523,335.701599,335.701599,13675600
10/24/07,334.181458,336.546082,327.648956,335.72641,335.72641,14904600
10/25/07,337.147186,337.29126,329.631073,332.095032,332.095032,11666200
10/26/07,334.837219,336.084106,331.87149,335.120361,335.120361,6751400
10/29/07,336.695129,337.802917,333.873474,337.42041,337.42041,6172400
10/30/07,336.565948,347.693604,336.565948,345.140198,345.140198,13890900
10/31/07,348.081055,351.215668,345.771088,351.215668,351.215668,13842900
11/1/07,349.124298,354.553955,348.622559,349.332916,349.332916,13139200
11/2/07,352.959351,354.484406,346.416901,353.326935,353.326935,11758900
11/5/07,351.210724,362.755615,350.753693,360.480408,360.480408,17882900
11/6/07,366.396942,368.49826,360.157532,368.49826,368.49826,16982200
11/7/07,368.17041,371.205658,359.233521,364.101868,364.101868,16654500
11/8/07,364.926514,365.070557,336.402039,344.678192,344.678192,33239100
11/9/07,335.706543,338.736847,328.468628,329.839722,329.839722,22924200
11/12/07,326.744843,332.800446,311.081726,313.992767,313.992767,20587600
11/13/07,320.411041,328.324554,313.992767,328.140747,328.140747,17000500
11/14/07,334.46463,335.5625,316.079224,318.766724,318.766724,16294500
11/15/07,317.221771,321.657928,309.983856,312.790588,312.790588,14025900
11/16/07,314.921722,315.691742,306.019623,314.767731,314.767731,18203100
11/19/07,312.760803,316.327606,307.251617,310.902863,310.902863,11126600
11/20/07,316.183533,327.420441,314.390198,322.174561,322.174561,19809000
11/21/07,319.804962,332.820313,318.965424,328.125854,328.125854,14118200
11/23/07,332.835236,336.948486,331.896332,336.163574,336.163574,5512900
11/26/07,337.902283,344.459625,330.351379,330.848145,330.848145,13668400
11/27/07,335.219727,336.029449,323.029022,334.608704,334.608704,17924800
11/28/07,338.851105,344.906708,333.898315,343.893311,343.893311,15935900
11/29/07,343.143188,349.124298,341.662811,346.247986,346.247986,12496700
11/30/07,353.202759,353.232574,338.851105,344.260925,344.260925,15893500
12/3/07,343.272339,345.254456,338.369232,338.562988,338.562988,8706300
12/4/07,336.963379,343.76416,336.372223,339.869476,339.869476,8518500
12/5/07,344.126801,347.206757,341.528687,346.998108,346.998108,8473900
12/6/07,346.645416,355.964783,346.25296,355.319,355.319,9881800
12/7/07,355.184875,356.680145,352.954376,355.125244,355.125244,7754200
12/10/07,355.681641,360.058167,354.693054,356.888794,356.888794,7762500
12/11/07,357.64386,358.165466,347.132233,347.340881,347.340881,12357900
12/12/07,354.693054,354.85202,342.025452,347.415405,347.415405,12398200
12/13/07,345.905212,346.556,338.404022,344.782532,344.782532,10147100
12/14/07,341.533661,347.589264,341.409454,342.750732,342.750732,7394600
12/17/07,341.777069,345.463104,329.690674,332.452728,332.452728,11043200
12/18/07,334.901794,336.168549,324.141785,334.49939,334.49939,14426500
12/19/07,334.926636,337.554535,332.33847,336.496429,336.496429,8899700
12/20/07,340.699066,343.267365,338.105957,342.616608,342.616608,8901900
12/21/07,346.68515,347.370697,344.380127,346.093994,346.093994,10833900
12/24/07,345.249481,348.100952,344.29071,348.100952,348.100952,3277900
12/26/07,347.236572,354.305573,346.849091,353.12326,353.12326,5092800
12/27/07,351.250458,355.686615,348.105896,348.105896,348.105896,5923100
12/28/07,350.187378,351.687622,346.01947,348.995117,348.995117,5158600
12/31/07,347.027924,348.97525,343.058746,343.505829,343.505829,4783200
1/2/08,344.19632,346.431793,336.675262,340.381134,340.381134,8669700
1/3/08,340.415924,341.20578,336.074158,340.450684,340.450684,6547200
1/4/08,337.648926,338.279816,325.383698,326.377228,326.377228,10789200
1/7/08,324.857117,329.000183,316.615723,322.527283,322.527283,12890000
1/8/08,324.390167,327.847656,313.461243,313.799042,313.799042,10747500
1/9/08,312.984344,324.559052,309.243683,324.489502,324.489502,13566900
1/10/08,320.420959,326.476593,317.986816,321.275421,321.275421,12750700
1/11/08,319.273438,322.636566,313.019104,317.062805,317.062805,10018600
1/14/08,323.466156,326.575928,320.540192,324.797516,324.797516,8952700
1/15/08,320.863098,322.427917,315.637085,316.76474,316.76474,11208800
1/16/08,312.452789,317.927185,299.020172,305.984863,305.984863,21257300
1/17/08,308.374329,310.848236,297.072815,298.453857,298.453857,16540400
1/18/08,302.214386,303.024109,297.291412,298.185577,298.185577,17190200
1/22/08,279.199066,296.819489,278.786774,290.286957,290.286957,19126600
1/23/08,278.543335,282.164795,257.82312,272.537415,272.537415,34152000
1/24/08,277.594513,287.972015,275.279572,285.388824,285.388824,18924000
1/25/08,293.992859,295.577545,281.260681,281.369965,281.369965,14022500
1/28/08,283.640198,284.271088,272.527466,276.193634,276.193634,11709000
1/29/08,278.424133,278.851349,268.588104,273.481262,273.481262,12647600
1/30/08,272.820557,278.404236,269.998932,272.363525,272.363525,15982400
1/31/08,267.763458,284.648621,265.418701,280.326752,280.326752,29936000
2/1/08,262.626862,266.601013,253.352188,256.283112,256.283112,35429900
2/4/08,252.890198,254.7332,244.683563,246.114258,246.114258,26485300
2/5/08,243.133652,252.855423,242.681595,251.762527,251.762527,22552200
2/6/08,253.918503,253.933411,247.356186,249.233978,249.233978,15372000
2/7/08,246.824646,255.433655,245.781433,250.843506,250.843506,15960800
2/8/08,253.059097,257.1922,252.70639,256.675568,256.675568,13746500
2/11/08,258.578186,260.162903,255.041199,258.896118,258.896118,11727700
2/12/08,260.003937,263.585632,254.857391,257.371063,257.371063,13411200
2/13/08,259.561798,265.766449,257.669098,265.582642,265.582642,13335500
2/14/08,267.435577,268.771912,263.784332,264.405304,264.405304,13037500
2/15/08,262.448029,264.608978,260.470886,263.108734,263.108734,10548300
2/19/08,265.741608,265.801208,251.613495,252.830582,252.830582,12783400
2/20/08,250.128159,253.853928,247.798309,252.855423,252.855423,13411000
2/21/08,254.767975,254.946823,248.136108,249.805252,249.805252,11429400
2/22/08,249.407837,252.855423,247.167419,252.259293,252.259293,11103500
2/25/08,251.340271,251.613495,241.300568,241.648315,241.648315,16854400
2/26/08,229.109863,231.727829,221.981232,230.5952,230.5952,46877300
2/27/08,228.578323,236.208694,228.3349,234.902191,234.902191,20375400
2/28/08,233.729813,237.997055,232.169952,236.159012,236.159012,13259400
2/29/08,234.410385,238.319962,230.823715,234.067612,234.067612,18973300
3/3/08,234.231552,234.832642,223.600693,227.033371,227.033371,15207200
