pr,"	Year", Month, Country, ISO3, ISO2,,,,,,,,,,,
118.765,2015,3,MYS,,,,,,,,,,,,,
231.605,2015,4,MYS,,,,,,,,,,,,,
202.378,2015,5,MYS,,,,,,,,,,,,,
210.088,2015,6,MYS,,,,,,,,,,,,,
135.85,2015,7,MYS,,,,,,,,,,,,,
232.627,2015,8,MYS,,,,,,,,,,,,,
155.673,2015,9,MYS,,,,,,,,,,,,,
218.301,2015,10,MYS,,,,,,,,,,,,,
366.935,2015,11,MYS,,,,,,,,,,,,,
306.581,2015,12,MYS,,,,,,,,,,,,,
