"logLik" "logLik_se" "beta" "im_s" "i_im" "psi" "rho" "tau" "sigma_dem" "sigma_env" "Er_0" "Ir_0" "Im_0" "md" "delta" "R_0" "P_0"
-628.855243115508 0.0701215633986528 0.485421106494787 0.107346116534072 0.271103863960424 3.07021618121922 0.0146694218411275 0.0019538297527742 1.80926984323897 0.215893858821858 0.00065942824452481 0.00109019156522292 0.198520677629257 0.1 0.0272 150 1661000
-627.290729901664 0.0387343818027641 0.508408590567208 0.0637601742030555 0.280683683830521 4.30823932980649 0.0168032497511204 0.00238573095101012 1.83490650070351 0.0433339643639927 0.000523580772845438 0.00109133430910734 0.579822301767948 0.1 0.0272 150 1661000
-626.53734747165 0.046901263659002 0.496572020708063 0.0587798005352035 0.304274706019904 4.26276943705728 0.0226248670462947 0.00316254797809536 1.57332582664112 0.0090717694294145 0.000355187167098998 0.000745567938831818 0.741041975869474 0.1 0.0272 150 1661000
-628.494265538601 0.0620901908143063 0.414430940657694 0.124794091733219 0.280458355439715 2.32957589744827 0.0241316276446302 0.00331565486694859 1.4372061180641 0.127312215487753 0.00035238686711913 0.000681209354617388 0.29854780094779 0.1 0.0272 150 1661000
-646.721511653869 0.0586313750225028 0.0421148011642925 0.219855742241732 0.153503261629875 5.55327480521653 0.0201885235390772 0.00313298614223486 2.56037396725357 0.869025369668596 0.000219583209023543 0.000887575817777526 0.00160317265119917 0.1 0.0272 150 1661000
-626.139516243581 0.0351211788565947 1.44600387717822 0.00789426268449805 0.264401308818197 5.62386343492321 0.0377143232341475 0.00552673617591214 2.12099700921913 0.103311339461444 0.000297043914896824 0.000394353195859754 0.84578340413085 0.1 0.0272 150 1661000
-629.273638250998 0.0516592932330597 0.458617661030685 0.190800604619523 0.267149499579471 3.54644665184524 0.0123611521665249 0.00173848874077379 2.10709021839681 0.0664104411691518 0.000628082704368646 0.00147698895226068 0.0147691788501882 0.1 0.0272 150 1661000
-629.393265771973 0.0531354095335406 0.437541492099733 0.190225538812002 0.255047333068577 3.38474460787438 0.0120382845665006 0.00174283513165165 2.12118721431801 0.11167594797588 0.000637509708541196 0.00142614518672251 0.0310784753409082 0.1 0.0272 150 1661000
-627.670701011838 0.0524726131524376 0.41321143848093 0.0953844265492662 0.341347506372685 0.785139339221184 0.116113524483865 0.0160284079346373 0.566341755556998 0.077478169516196 8.10245490393658e-05 0.000151510814282675 0.723496564037321 0.1 0.0272 150 1661000
-629.763042181244 0.0389038663098544 0.407984608140053 0.226686072238365 0.297456827958917 1.54947386494836 0.0353131835555049 0.00472954813079806 1.11929917111826 0.17914898688562 0.000277025671583507 0.000454306498939532 0.223588420078355 0.1 0.0272 150 1661000
