"logLik" "logLik_se" "Er_0" "Ir_0" "Im_0" "beta" "sigma_dem" "sigma_env" "psi" "rho" "tau" "i_im" "im_s" "md" "delta" "R_0" "P_0"
-880.238153269244 3.24329639199977 0.000491000259563572 0.00553700126371953 0.205224609810698 0.0039217241384277 3.89240630917476 0.00211389059757903 10.0762460695535 0.292459224153647 0.00109646361182545 0.869975817181327 0.144010023148082 0.1 0.0272 150 1661000
-918.761414178402 0.821742229058972 0.000551822862240738 0.00612665583529211 0.0268927848981686 0.00235988078177582 10.2227000407593 0.296319384158977 24.9924658872679 0.137605047116636 0.00169857731121176 0.523215604997675 0.0483754147601325 0.1 0.0272 150 1661000
-1192.35021195878 64.9084652402756 0.000183282991516798 0.000813098791028989 0.00703235560771786 0.0122970122008881 20.3586059650924 0.00798979093106238 54.320761948272 0.712325252088764 0.00577476314303408 0.794117328519752 0.0883034561084287 0.1 0.0272 150 1661000
-874.727933165755 5.82824873941471 9.53320456390446e-05 0.00114201473919513 0.0476357735970211 0.0040102053811083 13.1879112605761 0.00918296576039547 48.3923651355565 0.169612275069646 0.00448186231513231 0.934766583797185 0.00919416375206002 0.1 0.0272 150 1661000
-1251.18889408994 106.213407595577 0.00239875002493972 0.00964855889892693 0.0564140107877377 0.00533708930288218 19.5035461090144 0.0057253504741456 35.0807603383074 0.675228924734364 0.000647007671075633 0.833403413671499 0.0847223942778852 0.1 0.0272 150 1661000
-629.490414366929 0.0598186209506435 0.000922125203592849 0.00152865187584194 0.127137005740687 0.441509674879625 2.31602433894178 0.00797864887542608 4.05439240693532 0.0106207512716198 0.00148745098505263 0.273401365824514 0.472966900790911 0.1 0.0272 150 1661000
-894.929452689485 2.43567288843633 2.41345196914648e-05 2.28090776536644e-05 0.115177327209118 0.00450438182239727 7.81260945290904 0.0088933895499919 10.3555104284885 0.740394364195564 0.000984234919466258 0.726624479476648 0.171774710314344 0.1 0.0272 150 1661000
-883.48191671831 0.856086707625879 0.000159875930564419 0.000343412754170062 0.795167488002579 0.00820122327909953 6.85833600598528 0.0036876007478974 10.2532641698001 0.429788741960047 0.00183635161827078 0.281895281312702 0.0361233484148143 0.1 0.0272 150 1661000
-868.816081610616 0.675541449946643 0.00260690907766578 0.00347404545656769 0.0599449611183027 0.0342753750960926 2.48660757326053 0.00195245136359236 4.59591686891125 0.354492317604856 0.000216148279942863 0.819561034976036 0.115379447128247 0.1 0.0272 150 1661000
-1046.92665172442 18.9484711719558 0.000663010562860166 0.00380665351189808 0.167580504638001 0.0141776749223119 11.7957213806131 0.00800804454076402 31.1110167096046 0.686020500838783 0.000258812480040108 0.717925823834607 0.03541576874965 0.1 0.0272 150 1661000
-878.257504421779 0.866533173354528 0.000281495652486736 0.0145809547296616 0.0432461225166424 0.0399770092517578 5.56075055206071 0.00600975561962864 11.0384352858415 0.182052507870079 0.00379794428347385 0.706986341468267 0.0206252173953279 0.1 0.0272 150 1661000
-1163.51151752459 17.5454407059285 0.000115144356632069 0.000730224953411055 0.0685773384607692 0.00219839861855802 14.8974902519275 0.0341946224495968 21.6757900822701 0.563518152207523 0.00677887799488056 0.867250081506289 0.0168215665951764 0.1 0.0272 150 1661000
-996.104258289989 1.07688189378504 0.000387741192956565 0.00111936651577731 0.0473648882250048 0.0113150744251052 7.9527382357882 0.00381092236957333 93.6466615852303 0.0367707675921903 0.00151723760764121 0.775538475834046 0.0190305375015438 0.1 0.0272 150 1661000
-899.433749401673 13.249823454497 0.00215053895628906 0.00195374100701261 0.11147728141933 0.00893137556581325 1.30744448118101 0.00282009124961561 4.76656905666023 0.0886649253716324 0.000960023890683661 0.470443101799869 0.0198623918657211 0.1 0.0272 150 1661000
-814.465464762 16.0065897330919 7.37962546526461e-05 6.70368268112507e-05 0.0577925687974361 0.0142764364558121 8.88965803650483 0.131343265581283 24.3801416663656 0.261609799171973 0.000603199117384292 0.766444131309896 0.0779716419711916 0.1 0.0272 150 1661000
