State,time,population
MICHIGAN,8/29/1971,54
MICHIGAN,9/5/1971,53
MICHIGAN,9/12/1971,84
MICHIGAN,9/19/1971,78
MICHIGAN,9/26/1971,68
MICHIGAN,10/3/1971,57
MICHIGAN,10/10/1971,93
MICHIGAN,10/18/1971,67
MICHIGAN,10/24/1971,58
MICHIGAN,10/31/1971,76
MICHIGAN,11/7/1971,66
MICHIGAN,11/14/1971,9
MICHIGAN,11/21/1971,71
MICHIGAN,11/28/1971,87
MICHIGAN,12/5/1971,82
MICHIGAN,12/12/1971,15
MICHIGAN,12/19/1971,72
MICHIGAN,1/2/1972,91
MICHIGAN,1/16/1972,103
MICHIGAN,1/23/1972,99
MICHIGAN,1/30/1972,74
MICHIGAN,2/6/1972,79
MICHIGAN,2/13/1972,68
MICHIGAN,2/20/1972,65
MICHIGAN,2/27/1972,76
MICHIGAN,3/5/1972,88
MICHIGAN,3/12/1972,86
MICHIGAN,3/19/1972,69
MICHIGAN,3/26/1972,87
MICHIGAN,4/2/1972,59
MICHIGAN,4/9/1972,72
MICHIGAN,4/16/1972,53
MICHIGAN,4/23/1972,62
MICHIGAN,4/30/1972,69
MICHIGAN,5/7/1972,87
MICHIGAN,5/14/1972,69
MICHIGAN,6/4/1972,61
MICHIGAN,6/11/1972,38
MICHIGAN,6/18/1972,74
MICHIGAN,6/25/1972,57
MICHIGAN,7/2/1972,41
MICHIGAN,7/9/1972,44
MICHIGAN,7/16/1972,80
MICHIGAN,7/23/1972,71
MICHIGAN,7/30/1972,55
MICHIGAN,8/6/1972,60
MICHIGAN,8/13/1972,63
MICHIGAN,9/3/1972,22
MICHIGAN,9/10/1972,101
MICHIGAN,9/17/1972,83
MICHIGAN,9/24/1972,82
MICHIGAN,10/1/1972,98
MICHIGAN,10/8/1972,77
MICHIGAN,10/15/1972,55
MICHIGAN,10/22/1972,66
MICHIGAN,10/29/1972,75
MICHIGAN,11/5/1972,58
MICHIGAN,11/12/1972,71
MICHIGAN,11/19/1972,72
MICHIGAN,11/26/1972,75
MICHIGAN,12/3/1972,78
MICHIGAN,12/10/1972,75
MICHIGAN,12/17/1972,68
MICHIGAN,12/31/1972,53
MICHIGAN,1/14/1973,92
