"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Republic of Korea","1980","Total","Total","Data tabulated by year of occurrence","Other estimate","1991","892116",""
"Republic of Korea","1980","Total","January","Data tabulated by year of occurrence","Other estimate","1991","78506",""
"Republic of Korea","1980","Total","February","Data tabulated by year of occurrence","Other estimate","1991","79398",""
"Republic of Korea","1980","Total","March","Data tabulated by year of occurrence","Other estimate","1991","80290",""
"Republic of Korea","1980","Total","April","Data tabulated by year of occurrence","Other estimate","1991","76722",""
"Republic of Korea","1980","Total","May","Data tabulated by year of occurrence","Other estimate","1991","71369",""
"Republic of Korea","1980","Total","June","Data tabulated by year of occurrence","Other estimate","1991","67801",""
"Republic of Korea","1980","Total","July","Data tabulated by year of occurrence","Other estimate","1991","66909",""
"Republic of Korea","1980","Total","August","Data tabulated by year of occurrence","Other estimate","1991","65124",""
"Republic of Korea","1980","Total","September","Data tabulated by year of occurrence","Other estimate","1991","74046",""
"Republic of Korea","1980","Total","October","Data tabulated by year of occurrence","Other estimate","1991","81183",""
"Republic of Korea","1980","Total","November","Data tabulated by year of occurrence","Other estimate","1991","74938",""
"Republic of Korea","1980","Total","December","Data tabulated by year of occurrence","Other estimate","1991","75830",""
"Republic of Korea","1979","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1982","873813",""
"Republic of Korea","1979","Total","January","Data tabulated by year of occurrence","Final figure, complete","1982","100334",""
"Republic of Korea","1979","Total","February","Data tabulated by year of occurrence","Final figure, complete","1982","97816",""
"Republic of Korea","1979","Total","March","Data tabulated by year of occurrence","Final figure, complete","1982","76656",""
"Republic of Korea","1979","Total","April","Data tabulated by year of occurrence","Final figure, complete","1982","66605",""
"Republic of Korea","1979","Total","May","Data tabulated by year of occurrence","Final figure, complete","1982","68056",""
"Republic of Korea","1979","Total","June","Data tabulated by year of occurrence","Final figure, complete","1982","67111",""
"Republic of Korea","1979","Total","July","Data tabulated by year of occurrence","Final figure, complete","1982","60066",""
"Republic of Korea","1979","Total","August","Data tabulated by year of occurrence","Final figure, complete","1982","64804",""
"Republic of Korea","1979","Total","September","Data tabulated by year of occurrence","Final figure, complete","1982","62138",""
"Republic of Korea","1979","Total","October","Data tabulated by year of occurrence","Final figure, complete","1982","68741",""
"Republic of Korea","1979","Total","November","Data tabulated by year of occurrence","Final figure, complete","1982","70028",""
"Republic of Korea","1979","Total","December","Data tabulated by year of occurrence","Final figure, complete","1982","71458",""
"Republic of Korea","1978","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1982","711810",""
"Republic of Korea","1978","Total","January","Data tabulated by year of occurrence","Final figure, complete","1982","71873",""
"Republic of Korea","1978","Total","February","Data tabulated by year of occurrence","Final figure, complete","1982","75056",""
"Republic of Korea","1978","Total","March","Data tabulated by year of occurrence","Final figure, complete","1982","60721",""
"Republic of Korea","1978","Total","April","Data tabulated by year of occurrence","Final figure, complete","1982","52282",""
"Republic of Korea","1978","Total","May","Data tabulated by year of occurrence","Final figure, complete","1982","52048",""
"Republic of Korea","1978","Total","June","Data tabulated by year of occurrence","Final figure, complete","1982","49156",""
"Republic of Korea","1978","Total","July","Data tabulated by year of occurrence","Final figure, complete","1982","53420",""
"Republic of Korea","1978","Total","August","Data tabulated by year of occurrence","Final figure, complete","1982","55485",""
"Republic of Korea","1978","Total","September","Data tabulated by year of occurrence","Final figure, complete","1982","55336",""
"Republic of Korea","1978","Total","October","Data tabulated by year of occurrence","Final figure, complete","1982","60482",""
"Republic of Korea","1978","Total","November","Data tabulated by year of occurrence","Final figure, complete","1982","63364",""
"Republic of Korea","1978","Total","December","Data tabulated by year of occurrence","Final figure, complete","1982","62587",""
"Republic of Korea","1977","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1982","790063",""
"Republic of Korea","1977","Total","January","Data tabulated by year of occurrence","Final figure, complete","1982","79250",""
"Republic of Korea","1977","Total","February","Data tabulated by year of occurrence","Final figure, complete","1982","77996",""
"Republic of Korea","1977","Total","March","Data tabulated by year of occurrence","Final figure, complete","1982","66871",""
"Republic of Korea","1977","Total","April","Data tabulated by year of occurrence","Final figure, complete","1982","57683",""
"Republic of Korea","1977","Total","May","Data tabulated by year of occurrence","Final figure, complete","1982","55836",""
"Republic of Korea","1977","Total","June","Data tabulated by year of occurrence","Final figure, complete","1982","53252",""
"Republic of Korea","1977","Total","July","Data tabulated by year of occurrence","Final figure, complete","1982","59740",""
"Republic of Korea","1977","Total","August","Data tabulated by year of occurrence","Final figure, complete","1982","58934",""
"Republic of Korea","1977","Total","September","Data tabulated by year of occurrence","Final figure, complete","1982","59818",""
"Republic of Korea","1977","Total","October","Data tabulated by year of occurrence","Final figure, complete","1982","70818",""
"Republic of Korea","1977","Total","November","Data tabulated by year of occurrence","Final figure, complete","1982","69748",""
"Republic of Korea","1977","Total","December","Data tabulated by year of occurrence","Final figure, complete","1982","80117",""
"Republic of Korea","1976","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1976","742511",""
"Republic of Korea","1976","Total","January","Data tabulated by year of occurrence","Final figure, complete","1976","82075",""
"Republic of Korea","1976","Total","February","Data tabulated by year of occurrence","Final figure, complete","1976","75801",""
"Republic of Korea","1976","Total","March","Data tabulated by year of occurrence","Final figure, complete","1976","70957",""
"Republic of Korea","1976","Total","April","Data tabulated by year of occurrence","Final figure, complete","1976","62203",""
"Republic of Korea","1976","Total","May","Data tabulated by year of occurrence","Final figure, complete","1976","55867",""
"Republic of Korea","1976","Total","June","Data tabulated by year of occurrence","Final figure, complete","1976","39318",""
"Republic of Korea","1976","Total","July","Data tabulated by year of occurrence","Final figure, complete","1976","41308",""
"Republic of Korea","1976","Total","August","Data tabulated by year of occurrence","Final figure, complete","1976","51502",""
"Republic of Korea","1976","Total","September","Data tabulated by year of occurrence","Final figure, complete","1976","48697",""
"Republic of Korea","1976","Total","October","Data tabulated by year of occurrence","Final figure, complete","1976","74479",""
"Republic of Korea","1976","Total","November","Data tabulated by year of occurrence","Final figure, complete","1976","91582",""
"Republic of Korea","1976","Total","December","Data tabulated by year of occurrence","Final figure, complete","1976","48722",""
"Republic of Korea","1975","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1975","825829",""
"Republic of Korea","1975","Total","January","Data tabulated by year of occurrence","Final figure, complete","1975","91681",""
"Republic of Korea","1975","Total","February","Data tabulated by year of occurrence","Final figure, complete","1975","80410",""
"Republic of Korea","1975","Total","March","Data tabulated by year of occurrence","Final figure, complete","1975","73331",""
"Republic of Korea","1975","Total","April","Data tabulated by year of occurrence","Final figure, complete","1975","67833",""
"Republic of Korea","1975","Total","May","Data tabulated by year of occurrence","Final figure, complete","1975","63672",""
"Republic of Korea","1975","Total","June","Data tabulated by year of occurrence","Final figure, complete","1975","56143",""
"Republic of Korea","1975","Total","July","Data tabulated by year of occurrence","Final figure, complete","1975","66022",""
"Republic of Korea","1975","Total","August","Data tabulated by year of occurrence","Final figure, complete","1975","63363",""
"Republic of Korea","1975","Total","September","Data tabulated by year of occurrence","Final figure, complete","1975","58399",""
"Republic of Korea","1975","Total","October","Data tabulated by year of occurrence","Final figure, complete","1975","67198",""
"Republic of Korea","1975","Total","November","Data tabulated by year of occurrence","Final figure, complete","1975","60760",""
"Republic of Korea","1975","Total","December","Data tabulated by year of occurrence","Final figure, complete","1975","77017",""

"footnoteSeqID","Footnote"
"1","Excluding alien armed forces, civilian aliens employed by armed forces, and foreign diplomatic personnel and their dependants."
"2","Unrevised data that may include events which occurred abroad."
