"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Republic of Korea","2003","Total","January","Data tabulated by year of occurrence","Final figure, complete","2008","45107","1"
"Republic of Korea","2003","Total","February","Data tabulated by year of occurrence","Final figure, complete","2008","41632","1"
"Republic of Korea","2003","Total","February","Data tabulated by year of occurrence","Final figure, complete","2005","41893","2"
"Republic of Korea","2003","Total","March","Data tabulated by year of occurrence","Final figure, complete","2005","45978","2"
"Republic of Korea","2003","Total","March","Data tabulated by year of occurrence","Final figure, complete","2008","45693","1"
"Republic of Korea","2003","Total","April","Data tabulated by year of occurrence","Final figure, complete","2008","42755","1"
"Republic of Korea","2003","Total","April","Data tabulated by year of occurrence","Final figure, complete","2005","43000","2"
"Republic of Korea","2003","Total","May","Data tabulated by year of occurrence","Final figure, complete","2008","40796","1"
"Republic of Korea","2003","Total","May","Data tabulated by year of occurrence","Final figure, complete","2005","41038","2"
"Republic of Korea","2003","Total","June","Data tabulated by year of occurrence","Final figure, complete","2005","36773","2"
"Republic of Korea","2003","Total","June","Data tabulated by year of occurrence","Final figure, complete","2008","36553","1"
"Republic of Korea","2003","Total","July","Data tabulated by year of occurrence","Final figure, complete","2008","37626","1"
"Republic of Korea","2003","Total","July","Data tabulated by year of occurrence","Final figure, complete","2005","37878","2"
"Republic of Korea","2003","Total","August","Data tabulated by year of occurrence","Final figure, complete","2005","37926","2"
"Republic of Korea","2003","Total","August","Data tabulated by year of occurrence","Final figure, complete","2008","37697","1"
"Republic of Korea","2003","Total","September","Data tabulated by year of occurrence","Final figure, complete","2008","41241","1"
"Republic of Korea","2003","Total","September","Data tabulated by year of occurrence","Final figure, complete","2005","41483","2"
"Republic of Korea","2003","Total","October","Data tabulated by year of occurrence","Final figure, complete","2005","43133","2"
"Republic of Korea","2003","Total","October","Data tabulated by year of occurrence","Final figure, complete","2008","42861","1"
"Republic of Korea","2003","Total","November","Data tabulated by year of occurrence","Final figure, complete","2008","40280","1"
"Republic of Korea","2003","Total","November","Data tabulated by year of occurrence","Final figure, complete","2005","40520","2"
"Republic of Korea","2003","Total","December","Data tabulated by year of occurrence","Final figure, complete","2008","38302","1"
"Republic of Korea","2003","Total","December","Data tabulated by year of occurrence","Final figure, complete","2005","38511","2"
"Republic of Korea","2003","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2008","0","1"
"Republic of Korea","2002","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2003","494625","2"
"Republic of Korea","2002","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2008","492111","1"
"Republic of Korea","2002","Total","January","Data tabulated by year of occurrence","Final figure, complete","2008","48474","1"
"Republic of Korea","2002","Total","January","Data tabulated by year of occurrence","Final figure, complete","2003","48719","2"
"Republic of Korea","2002","Total","February","Data tabulated by year of occurrence","Final figure, complete","2008","43264","1"
"Republic of Korea","2002","Total","February","Data tabulated by year of occurrence","Final figure, complete","2003","43492","2"
"Republic of Korea","2002","Total","March","Data tabulated by year of occurrence","Final figure, complete","2008","47435","1"
"Republic of Korea","2002","Total","March","Data tabulated by year of occurrence","Final figure, complete","2003","47690","2"
"Republic of Korea","2002","Total","April","Data tabulated by year of occurrence","Final figure, complete","2003","43281","2"
"Republic of Korea","2002","Total","April","Data tabulated by year of occurrence","Final figure, complete","2008","43061","1"
"Republic of Korea","2002","Total","May","Data tabulated by year of occurrence","Final figure, complete","2008","41569","1"
"Republic of Korea","2002","Total","May","Data tabulated by year of occurrence","Final figure, complete","2003","41822","2"
"Republic of Korea","2002","Total","June","Data tabulated by year of occurrence","Final figure, complete","2008","37210","1"
"Republic of Korea","2002","Total","June","Data tabulated by year of occurrence","Final figure, complete","2003","37415","2"
"Republic of Korea","2002","Total","July","Data tabulated by year of occurrence","Final figure, complete","2003","40136","2"
"Republic of Korea","2002","Total","July","Data tabulated by year of occurrence","Final figure, complete","2008","39923","1"
"Republic of Korea","2002","Total","August","Data tabulated by year of occurrence","Final figure, complete","2008","39330","1"
"Republic of Korea","2002","Total","August","Data tabulated by year of occurrence","Final figure, complete","2003","39525","2"
"Republic of Korea","2002","Total","September","Data tabulated by year of occurrence","Final figure, complete","2008","39199","1"
"Republic of Korea","2002","Total","September","Data tabulated by year of occurrence","Final figure, complete","2003","39402","2"
"Republic of Korea","2002","Total","October","Data tabulated by year of occurrence","Final figure, complete","2003","39244","2"
"Republic of Korea","2002","Total","October","Data tabulated by year of occurrence","Final figure, complete","2008","39058","1"
"Republic of Korea","2002","Total","November","Data tabulated by year of occurrence","Final figure, complete","2008","37475","1"
"Republic of Korea","2002","Total","November","Data tabulated by year of occurrence","Final figure, complete","2003","37629","2"
"Republic of Korea","2002","Total","December","Data tabulated by year of occurrence","Final figure, complete","2008","36113","1"
"Republic of Korea","2002","Total","December","Data tabulated by year of occurrence","Final figure, complete","2003","36270","2"
"Republic of Korea","2002","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2008","0","1"
"Republic of Korea","2001","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2003","557228","2"
"Republic of Korea","2001","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2008","554895","1"
"Republic of Korea","2001","Total","January","Data tabulated by year of occurrence","Final figure, complete","2008","56549","1"
"Republic of Korea","2001","Total","January","Data tabulated by year of occurrence","Final figure, complete","2003","56770","2"
"Republic of Korea","2001","Total","February","Data tabulated by year of occurrence","Final figure, complete","2003","49788","2"
"Republic of Korea","2001","Total","February","Data tabulated by year of occurrence","Final figure, complete","2008","49594","1"
"Republic of Korea","2001","Total","March","Data tabulated by year of occurrence","Final figure, complete","2008","54169","1"
"Republic of Korea","2001","Total","March","Data tabulated by year of occurrence","Final figure, complete","2003","54398","2"
"Republic of Korea","2001","Total","April","Data tabulated by year of occurrence","Final figure, complete","2003","48181","2"
"Republic of Korea","2001","Total","April","Data tabulated by year of occurrence","Final figure, complete","2008","47950","1"
"Republic of Korea","2001","Total","May","Data tabulated by year of occurrence","Final figure, complete","2008","46377","1"
"Republic of Korea","2001","Total","May","Data tabulated by year of occurrence","Final figure, complete","2003","46609","2"
"Republic of Korea","2001","Total","June","Data tabulated by year of occurrence","Final figure, complete","2003","41651","2"
"Republic of Korea","2001","Total","June","Data tabulated by year of occurrence","Final figure, complete","2008","41440","1"
"Republic of Korea","2001","Total","July","Data tabulated by year of occurrence","Final figure, complete","2008","42005","1"
"Republic of Korea","2001","Total","July","Data tabulated by year of occurrence","Final figure, complete","2003","42186","2"
"Republic of Korea","2001","Total","August","Data tabulated by year of occurrence","Final figure, complete","2008","43407","1"
"Republic of Korea","2001","Total","August","Data tabulated by year of occurrence","Final figure, complete","2003","43584","2"
"Republic of Korea","2001","Total","September","Data tabulated by year of occurrence","Final figure, complete","2008","45216","1"
"Republic of Korea","2001","Total","September","Data tabulated by year of occurrence","Final figure, complete","2003","45394","2"
"Republic of Korea","2001","Total","October","Data tabulated by year of occurrence","Final figure, complete","2003","44560","2"
"Republic of Korea","2001","Total","October","Data tabulated by year of occurrence","Final figure, complete","2008","44383","1"
"Republic of Korea","2001","Total","November","Data tabulated by year of occurrence","Final figure, complete","2008","42261","1"
"Republic of Korea","2001","Total","November","Data tabulated by year of occurrence","Final figure, complete","2003","42416","2"
"Republic of Korea","2001","Total","December","Data tabulated by year of occurrence","Final figure, complete","2003","41691","2"
"Republic of Korea","2001","Total","December","Data tabulated by year of occurrence","Final figure, complete","2008","41544","1"
"Republic of Korea","2001","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2008","0","1"
"Republic of Korea","2000","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2003","636780","2"
"Republic of Korea","2000","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2008","634501","1"
"Republic of Korea","2000","Total","January","Data tabulated by year of occurrence","Final figure, complete","2008","61229","1"
"Republic of Korea","2000","Total","January","Data tabulated by year of occurrence","Final figure, complete","2003","61458","2"
"Republic of Korea","2000","Total","February","Data tabulated by year of occurrence","Final figure, complete","2008","56305","1"
"Republic of Korea","2000","Total","February","Data tabulated by year of occurrence","Final figure, complete","2003","56503","2"
"Republic of Korea","2000","Total","March","Data tabulated by year of occurrence","Final figure, complete","2003","59674","2"
"Republic of Korea","2000","Total","March","Data tabulated by year of occurrence","Final figure, complete","2008","59448","1"
"Republic of Korea","2000","Total","April","Data tabulated by year of occurrence","Final figure, complete","2008","52672","1"
"Republic of Korea","2000","Total","April","Data tabulated by year of occurrence","Final figure, complete","2003","52867","2"
"Republic of Korea","2000","Total","May","Data tabulated by year of occurrence","Final figure, complete","2003","52269","2"
"Republic of Korea","2000","Total","May","Data tabulated by year of occurrence","Final figure, complete","2008","52058","1"
"Republic of Korea","2000","Total","June","Data tabulated by year of occurrence","Final figure, complete","2008","46338","1"
"Republic of Korea","2000","Total","June","Data tabulated by year of occurrence","Final figure, complete","2003","46538","2"
